object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1137,162.858,352.733,245.187,164.397,True,True,True,65536,multiplexed,8,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.092,356.404,246.364,188.474,True,True,True,65536,multiplexed,8,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,165.042,354.317,241.919,179.13,True,True,True,65536,multiplexed,8,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.274,355.286,240.823,183.036,True,True,True,65536,multiplexed,8,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,691.893,5354.536,5306.049,5192.552,True,True,True,65536,multiplexed,9,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,162.878,357.764,250.114,164.614,True,True,True,65536,multiplexed,9,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.016,376.12,265.948,187.613,True,True,True,65536,multiplexed,9,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,164.968,371.089,258.552,178.416,True,True,True,65536,multiplexed,9,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.646,381.06,266.47,182.134,True,True,True,65536,multiplexed,9,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,745.513,6264.972,6216.396,6102.205,True,True,True,65536,sequential,9,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,6311.415,6394.955,128.289,82.614,True,True,True,65536,sequential,9,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,6439.782,6501.922,106.783,61.172,True,True,True,65536,sequential,9,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1136,6546.441,6607.182,105.074,59.663,True,True,True,65536,sequential,9,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,6708.226,6750.5,143.137,97.424,True,True,True,65536,sequential,9,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1155,622.437,4091.986,4043.639,3930.17,True,True,True,65536,sequential,10,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4138.148,4199.223,105.642,60.259,True,True,True,65536,sequential,10,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4243.981,4302.452,103.047,57.607,True,True,True,65536,sequential,10,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,4347.293,4404.651,101.91,56.473,True,True,True,65536,sequential,10,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1137,4449.31,4503.725,98.901,53.506,True,True,True,65536,sequential,10,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1155,673.712,4939.525,4891.586,4779.18,True,True,True,65536,multiplexed,10,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,161.21,349.039,242.956,163.303,True,True,True,65536,multiplexed,10,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,162.346,352.512,243.998,183.228,True,True,True,65536,multiplexed,10,2
