payload,rate_mbps,rtt_ms,loss_every,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,mean_queue_delay_ms,max_queue_delay_ms,emulation
demo,5.0,80.0,0,5,redulink-binary-quic-stream,98304,30818,98304,1071.505,0.733951,0.230091,True,13,6.911,46.046,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,6,raw-quic-stream,98304,98304,98304,1255.386,0.626446,0.626446,True,0,6.339,43.288,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,6,redulink-binary-quic-stream,98304,30818,98304,1060.847,0.741325,0.232403,True,13,6.339,43.288,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,7,raw-quic-stream,98304,98304,98304,1198.904,0.655959,0.655959,True,0,6.587,41.708,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,7,redulink-binary-quic-stream,98304,30818,98304,1013.379,0.776049,0.243289,True,13,6.587,41.708,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,8,raw-quic-stream,98304,98304,98304,1261.464,0.623428,0.623428,True,0,6.664,42.658,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,8,redulink-binary-quic-stream,98304,30817,98304,1071.435,0.733999,0.230099,True,13,6.664,42.658,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,9,raw-quic-stream,98304,98304,98304,1175.413,0.669069,0.669069,True,0,6.644,39.466,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,9,redulink-binary-quic-stream,98304,30818,98304,1050.627,0.748536,0.234664,True,13,6.644,39.466,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,10,raw-quic-stream,98304,98304,98304,1236.707,0.635908,0.635908,True,0,7.08,47.567,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,10,redulink-binary-quic-stream,98304,30817,98304,1087.303,0.723287,0.226741,True,13,7.08,47.567,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,11,raw-quic-stream,98304,98304,98304,1193.088,0.659157,0.659157,True,0,7.107,46.289,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,11,redulink-binary-quic-stream,98304,30818,98304,1058.9,0.742688,0.23283,True,13,7.107,46.289,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,12,raw-quic-stream,98304,98304,98304,1264.061,0.622147,0.622147,True,0,6.968,44.657,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,12,redulink-binary-quic-stream,98304,30818,98304,1092.688,0.719722,0.225631,True,13,6.968,44.657,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,13,raw-quic-stream,98304,98304,98304,1255.211,0.626534,0.626534,True,0,6.802,44.187,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,13,redulink-binary-quic-stream,98304,30818,98304,1053.41,0.746558,0.234044,True,13,6.802,44.187,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
demo,5.0,80.0,0,14,raw-quic-stream,98304,98304,98304,1173.874,0.669946,0.669946,True,0,6.602,41.156,"full-duplex userspace token bucket per direction + one-way delay, shared by both flows; not kernel netem"
