payload,payload_note,round,method,input_bytes,encoded_stream_payload_bytes,reconstructed_bytes,completion_ms_measured,reconstructed_rate_mbps_measured,encoded_rate_mbps_measured,reconstruction_ok,semantic_misses,repair_full_frames,emulation,rate_mbps,rtt_ms,loss_percent
redis,real Redis-layered public bytes,2,redulink-binary-quic-stream,524288,136756,524288,2580.342,1.625484,0.423993,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,3,raw-quic-stream,524288,524288,524288,1893.913,2.214623,2.214623,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,3,redulink-binary-quic-stream,524288,136756,524288,2533.381,1.655615,0.431853,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,4,raw-quic-stream,524288,524288,524288,2034.449,2.061641,2.061641,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,4,redulink-binary-quic-stream,524288,136755,524288,2632.407,1.593334,0.415604,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,5,raw-quic-stream,524288,524288,524288,1985.848,2.112097,2.112097,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,5,redulink-binary-quic-stream,524288,136756,524288,2424.034,1.730299,0.451334,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,6,raw-quic-stream,524288,524288,524288,1781.793,2.353979,2.353979,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,6,redulink-binary-quic-stream,524288,136756,524288,2480.06,1.691211,0.441138,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,7,raw-quic-stream,524288,524288,524288,1964.119,2.135463,2.135463,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,7,redulink-binary-quic-stream,524288,136756,524288,2591.716,1.61835,0.422133,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,8,raw-quic-stream,524288,524288,524288,1896.073,2.2121,2.2121,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,8,redulink-binary-quic-stream,524288,136755,524288,2241.255,1.871409,0.488137,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,9,raw-quic-stream,524288,524288,524288,1932.509,2.170393,2.170393,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,9,redulink-binary-quic-stream,524288,136756,524288,2628.194,1.595888,0.416274,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,10,raw-quic-stream,524288,524288,524288,2023.628,2.072666,2.072666,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,10,redulink-binary-quic-stream,524288,136756,524288,2426.444,1.728581,0.450885,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,11,raw-quic-stream,524288,524288,524288,1865.028,2.248923,2.248923,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,11,redulink-binary-quic-stream,524288,136756,524288,2529.371,1.65824,0.432538,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,12,raw-quic-stream,524288,524288,524288,1954.038,2.14648,2.14648,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,12,redulink-binary-quic-stream,524288,136756,524288,2463.556,1.702541,0.444093,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",5.0,20.0,0.0
redis,real Redis-layered public bytes,1,raw-quic-stream,524288,524288,524288,783.754,5.351557,5.351557,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,1,redulink-binary-quic-stream,524288,136756,524288,1124.994,3.72829,0.972492,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,2,raw-quic-stream,524288,524288,524288,768.567,5.457304,5.457304,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,2,redulink-binary-quic-stream,524288,136756,524288,1066.97,3.931042,1.025378,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,3,raw-quic-stream,524288,524288,524288,639.407,6.559678,6.559678,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,3,redulink-binary-quic-stream,524288,136756,524288,823.853,5.091083,1.327965,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,4,raw-quic-stream,524288,524288,524288,605.249,6.929882,6.929882,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,4,redulink-binary-quic-stream,524288,136756,524288,710.602,5.902466,1.539607,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,5,raw-quic-stream,524288,524288,524288,766.482,5.472149,5.472149,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,5,redulink-binary-quic-stream,524288,136756,524288,1074.332,3.904104,1.018352,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,6,raw-quic-stream,524288,524288,524288,792.907,5.289781,5.289781,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,6,redulink-binary-quic-stream,524288,136756,524288,1116.939,3.755177,0.979506,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,7,raw-quic-stream,524288,524288,524288,770.081,5.446575,5.446575,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,7,redulink-binary-quic-stream,524288,136756,524288,1106.316,3.791235,0.988911,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,8,raw-quic-stream,524288,524288,524288,777.333,5.395762,5.395762,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,8,redulink-binary-quic-stream,524288,136756,524288,1121.306,3.740553,0.975691,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,9,raw-quic-stream,524288,524288,524288,786.134,5.335355,5.335355,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,9,redulink-binary-quic-stream,524288,136756,524288,1124.687,3.729308,0.972758,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,10,raw-quic-stream,524288,524288,524288,704.628,5.952508,5.952508,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,10,redulink-binary-quic-stream,524288,136756,524288,887.878,4.723964,1.232205,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,11,raw-quic-stream,524288,524288,524288,773.5,5.4225,5.4225,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,11,redulink-binary-quic-stream,524288,136756,524288,1144.015,3.666302,0.956323,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,12,raw-quic-stream,524288,524288,524288,601.325,6.975103,6.975103,True,0,0,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
redis,real Redis-layered public bytes,12,redulink-binary-quic-stream,524288,136755,524288,683.77,6.134086,1.600012,True,72,72,"Linux tc/netem qdisc on loopback; local kernel path emulation, not WAN",20.0,20.0,0.0
